5895.163359,5902.444038,Q&A: Will my Tractor or Truck not crash in 1.2?,1,
5907.571112,5958.635099,Q&A: Did Mikael forget to post on Discord? (Part 1),,
5970.459969,5999.371459,Q&A: Is there any news about whether Train features might be included in 1.2?,,
6000.587198,6062.873263,Q&A: Will we ever get more decorations themed around nature? (Part 2),,
6063.445076,6085.530116,Q&A: Will we get new or alternate machines?,,
6086.705444,6113.206467,Q&A: Any more Mods coming in 1.2? (Part 2),,1
6115.044495,6126.877105,Q&A: Is there any chance to get Global Illumination settings on PS5?,1,
6137.936822,6149.080115,Mikael Talk: Restream delays (Part 4),,
6149.386898,6166.692654,Q&A: Any more Mods coming in 1.2? (Part 3),,1
6167.654702,6175.389071,Q&A: How is Mikael doing? (Part 3),,
6176.334391,6356.371213,State of Dev (Part 8),,
6176.334391,6282.559781,Q&A: Does 1.2 have better memory/UObject Limit handling than 1.1?,,1
6283.160968,6293.243118,Q&A: Will Satisfactory ever have a Hard Mode? (Part 1),,
6293.916099,6356.371213,Q&A: How much bigger is 1.2 than 1.1?,,
6356.983874,6360.638414,Q&A: How is Mikael doing? (Part 4),,
6361.79223,6377.98738,Q&A: Will we ever get to use the Space Elevator more?,,1
6378.755888637097,6384.799209,Q&A: Will Blueprint auto-connect work for Power Lines in the future?,,
6385.6514,6398.93179,Q&A: Was the Space Elevator planned to be the height that it is due to the planet's atmosphere?,,
6399.667169,6527.224018,State of Dev (Part 9),,
6399.667169,6436.306585,Q&A: Are we going to get Caves to build in and more land?,,
6437.129131,6527.224018,Q&A: Why did you guys update from Unreal Engine 5.3.2 to 5.6.1? (Part 1),,
6528.083831,6540.295127,"Q&A: Mirrored Buildings, when?",1,
6540.926224,6548.929571,Q&A: When will Catwalks be shown some more love?,,
6549.99033215812,6570.394526,State of Dev (Part 10),,
6549.99033215812,6552.033422,Q&A: Why did you guys update from Unreal Engine 5.3.2 to 5.6.1? (Part 2),,
6552.585346,6570.394526,Q&A: Can you fix Pipes in 1.2?,,
6574.457181,6581.272477,Q&A: Stained Glass?,,
6582.560369,6597.934949,Q&A: Will the Lizard Doggo get an AI update?,,
6598.79309,6622.787247,Q&A: Any plans to add Mercer Spheres / Somersloops to the AWESOME Shop for tickets?,,
6623.392918,6740.684611,State of Dev (Part 11),,
6623.392918,6650.348818,Q&A: How stable is the current version of 1.2?,,
6651.668946,6697.820322,Q&A: Will there be some love given to Dedicated Servers any time in the future?,,
6698.466665857929,6740.684611,Q&A: Will Vertical Splitters & Mergers be getting fixed?,,
6742.028515,6753.31662,Q&A: How come I can use Mods to add more Swatches?,,
6754.3839,6786.955842,Q&A: Have there been any internal talks to make Rocket Fuel less over-powered?,1,
6788.247814,6816.088276,Q&A: Are there plans to add an Alternate Recipe to make Modular Engines without using Oil?,1,
6816.088276,6923.629195,State of Dev (Part 12),,
6816.088276,6819.771739,Q&A: Any changes to Trucks?,,
6820.758388,6867.510841,Q&A: Are the tech EXP changes coming to stable before 1.2?,,
6868.326678,6875.777855,Q&A: When will the randomised ore nodes be coming to EXP?,,
6880.350222,6923.629195,Q&A: Has Mikael played 1.2?,,
6924.377232,6933.216792,Q&A: Which Final Fantasy character would Mikael put into Satisfactory?,,
6933.975905,6972.937118,State of Dev (Part 13),,
6933.975905,6938.208978,Q&A: Will multi-frame gen be available in 1.2?,,
6940.821262,6959.423023,Q&A: Will Lumen hardware Ray Tracing be available in 1.2?,,
6962.349052,6972.937118,Q&A: Why did you guys low-ball the Space Elevator Phase 5 numbers?,,
6973.559148,6978.23195,Q&A: Pipeline Mk.3 or Pipeline Pump Mk.3?,,
6996.1435625,7034.06215,Q&A: Did Mikael forget to post on Discord? (Part 2),,
7037.469681,7049.349024,Q&A: When will native Linux come? (Part 2),,
7050.5931,7129.046654,State of Dev (Part 14),,
7050.5931,7062.536284,Q&A: Will the major bugs with Trains be fixed in 1.2?,,
7065.501455,7106.339028,Q&A: Will there be keyboard & mouse support for Console in 1.2?,,
7106.339028,7112.409008,"Q&A: 1.2 Patch Notes, when?",,
7112.81713,7129.046654,Q&A: When will 1.2 land on EXP? (Part 7),,
7144.298714,7150.474788,Q&A: Has Mikael gotten his own Easter Egg in Satisfactory?,,
7151.428827,7167.678661,Q&A: Would Coffee Stain consider a crossover with Helldivers 2?,,
7169.516476,7176.736685,Q&A: Will there be changes to make Recipes easier to plan for?,,1
7183.06717,7203.731162,Q&A: Which system in the game was hardest to design or balance?,,
7209.387112,7293.105351,Q&A: Is it possible to have a CM blog where you can give longer answers?,1,
7300.755574,7313.951671,Q&A: Can we get Lore dumps on Gas Rocks / Flowers / Lizard Doggo?,,
7318.376132,7415.853913,State of Dev (Part 15),,
7318.376132,7333.837881,Q&A: Are you actually fixing Fluids or have you been baiting for 6 months?,,
7340.977282,7415.853913,Q&A: Will Satisfactory ever have a Hard Mode? (Part 2),,
7423.272508,7443.075001,Q&A: Can I disable the night cycle?,,
7443.498174748428,7463.126295,Q&A: How is finishing the game on controller going?,,
7463.126295,7731.031827,Outro,,
7731.031827,7744.828,Thanks for Watching,,
